#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-20T11:33:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632999b530aaa9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50&HTTPPRM:&&-ref=VIZ632999b530aaa9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=SpType&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=SpType
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
HR	Name	RAJ2000	DEJ2000	Vmag	SpType
6849	          	18 14 41.1	+56 35 18	 6.37	  F1V
6850	 36    Dra	18 13 53.8	+64 23 50	 5.03	  F5V
6851	          	18 18 02.9	+13 46 37	 6.30	  B5V
6852	          	18 18 07.7	+18 07 53	 5.99	  B9V
6853	          	18 17 06.8	+40 56 12	 6.11	  G8.5IIIbFe-1CH0.5
6854	          	18 18 07.7	+23 17 48	 6.63	  K5
6855	   Xi  Pav	18 23 13.6	-61 29 38	 4.36	  K4III
6856	          	18 20 55.3	-37 29 15	 6.45	  K2II
6857	          	18 19 09.5	+07 15 35	 5.39	  K2III-IV
6858	          	18 20 08.8	-15 49 54	 5.39	  K4III
6859	 19Del Sgr	18 20 59.7	-29 49 41	 2.70	  K3-IIIa*
6860	105    Her	18 19 10.7	+24 26 46	 5.27	  K3III:Ba0.4
6861	          	18 21 31.4	-24 54 54	 6.25	  M5III
6862	          	18 22 18.6	-38 39 25	 5.10	  K4-5III
6863	          	18 21 23.1	-18 51 36	 5.75	  F8I
6864	          	18 22 00.2	-28 25 48	 6.16	  A3III
6865	 37    Dra	18 15 17.0	+68 45 21	 5.95	 gK1
6866	 74    Oph	18 20 52.1	+03 22 38	 4.86	  G8III
6867	          	18 19 52.1	+29 39 58	 5.99	 gK4
6868	106    Her	18 20 17.9	+21 57 41	 4.95	  M1III
6869	 58Eta Ser	18 21 18.6	-02 53 56	 3.26	  K0III-IV
6870	          	18 22 53.1	-36 40 10	 5.34	  Ap
6871	          	18 25 31.5	-63 01 17	 6.14	  A3V
6872	  1Kap Lyr	18 19 51.7	+36 03 52	 4.33	  K2IIIabCN0.5
6873	          	18 21 28.5	+05 26 09	 6.13	  B3Ve
6874	          	18 23 28.9	-36 14 18	 5.55	  K0III
6875	          	18 24 18.2	-44 06 37	 5.25	  B2.5Vn
6876	108    Her	18 20 57.1	+29 51 32	 5.63	  A5m
6877	107    Her	18 21 01.0	+28 52 12	 5.12	  A7V
6878	          	18 23 02.2	-10 13 07	 6.33	  B9.5V
6879	 20Eps Sgr	18 24 10.3	-34 23 05	 1.85	  B9.5III
6880	          	18 19 56.1	+51 20 52	 6.30	 gK1
6881	          	18 23 12.2	-12 00 53	 5.73	  B8IV-Ve
6882	          	18 22 08.7	+23 17 07	 5.41	  M0IIIab
6883	          	18 22 35.3	+12 01 44	 5.89	  A2V
6884	   Zet Sct	18 23 39.5	-08 56 03	 4.68	  G9-IIIbFe-0.5
6885	          	18 22 49.0	+17 49 36	 5.25	  K3III
6886	          	18 21 07.1	+49 43 32	 6.40	  K1III
6887	          	18 23 02.9	+16 41 17	 6.22	  K0
6888	 18    Sgr	18 25 01.5	-30 45 24	 5.60	  K0III-IV
6889	          	18 25 21.7	-35 59 30	 6.15	  K0III
6890	          	18 24 03.5	-03 35 00	 6.38	  F6III-IV
6891	          	18 21 32.7	+49 07 18	 5.05	  M2IIIab
6892	          	18 24 42.1	-07 04 31	 6.31	  K0
6893	          	18 25 54.6	-33 56 43	 6.30	  B5IV
6894	          	18 26 53.9	-48 07 01	 5.46	  K0-1III+F-G
6895	109    Her	18 23 41.9	+21 46 11	 3.84	  K2.5IIIab
6896	 21    Sgr	18 25 21.0	-20 32 30	 4.81	  K2II
6897	   Alp Tel	18 26 58.4	-45 58 06	 3.51	  B3IV
6898	          	18 24 57.0	-01 34 46	 6.15	  F6III+A9III
6899	          	18 32 55.3	-73 57 56	 5.89	  K0III
6900	          	18 25 08.8	+05 05 05	 6.74	  B9V
6901	          	18 23 57.4	+38 44 21	 6.36	  K4III
6902	          	18 25 38.8	+08 01 55	 5.65	  G8III-IV+A0V
6903	  2Mu  Lyr	18 24 13.8	+39 30 26	 5.12	  A3IVn
6904	          	18 24 58.5	+27 23 43	 6.27	  A0V+A4V
6905	   Zet Tel	18 28 49.9	-49 04 15	 4.13	  G8-K0III
6906	          	18 25 55.4	+14 58 00	 6.37	  B9V
6907	          	18 27 49.5	-29 48 59	 5.92	  F9V
6908	          	18 29 56.7	-57 31 23	 5.76	  K0III
6909	          	18 27 43.8	-26 38 05	 6.31	  A8V+F2V
6910	          	18 28 27.1	-38 59 44	 5.64	  A2mA2-F0
6911	          	18 23 47.8	+53 18 03	 6.32	  A3m
6912	          	18 42 14.1	-81 48 28	 6.27	  B8V
6913	 22Lam Sgr	18 27 58.2	-25 25 18	 2.81	  K1+IIIb
6914	          	18 28 06.2	-26 45 26	 6.27	  A3/4V
6915	          	18 29 12.9	-43 50 45	 6.36	  G8III
6916	   Nu  Pav	18 31 22.4	-62 16 42	 4.64	  B7-8III
6917	          	18 25 58.8	+29 49 44	 5.83	  A2IV
6918	 59    Ser	18 27 12.5	+00 11 46	 5.21	  G0III+A6V
6919	          	18 27 56.5	-17 48 00	 6.20	  B8V
6920	 43Phi Dra	18 20 45.5	+71 20 16	 4.22	  A0pSi:
6921	          	18 29 16.8	-38 51 04	 6.63	  B8
6922	          	18 29 55.8	-47 13 13	 5.70	  K2III
6923	 39    Dra	18 23 54.5	+58 48 02	 4.98	  A1V
6924	          	18 26 40.9	+26 26 58	 6.53	  B3V
6925	          	18 27 50.3	+03 44 55	 6.07	  K3III
6926	          	18 28 57.4	-26 34 54	 6.50	  A3III
6927	 44Chi Dra	18 21 03.4	+72 43 58	 3.57	  F7V
6928	          	18 27 58.8	+06 11 39	 5.73	  B8III-IV
6929	          	18 29 22.0	-25 15 23	 6.59	  B2IVpe
6930	   Gam Sct	18 29 11.9	-14 33 57	 4.70	  A3Vn
6931	          	18 31 03.0	-41 54 49	 6.04	  A3V
6932	          	18 29 46.8	-14 34 54	 5.96	  B9pSiCr
6933	          	18 30 11.9	-18 43 44	 5.66	 gK0
6934	   Del1Tel	18 31 45.4	-45 54 54	 4.96	  B6IV
6935	 60    Ser	18 29 41.0	-01 59 07	 5.39	  K0III
6936	          	18 31 04.8	-32 59 21	 5.34	  A3m
6937	          	18 31 56.2	-43 30 28	 5.72	  K2III
6938	   Del2Tel	18 32 02.0	-45 45 26	 5.07	  B3III
6939	          	18 33 29.5	-58 42 33	 6.44	  G5IV
6940	          	18 30 14.3	-05 43 27	 6.28	  G8II-III
6941	          	18 30 05.1	+04 03 55	 6.69	  B2V
6942	          	18 32 21.4	-39 42 14	 5.16	  A3Vn
6943	          	18 29 35.7	+23 51 58	 5.90	  B6IV
6944	          	18 31 26.3	-18 24 10	 5.14	  A0Vp
6945	 42    Dra	18 25 59.1	+65 33 49	 4.82	  K1.5IIIFe-0.5
6946	          	18 31 25.7	-10 47 45	 5.72	  B2V
6947	          	18 31 53.3	-19 07 30	 6.68	  G1.5Ib
6948	          	18 33 00.9	-39 53 32	 6.22	  F5IV
6949	          	18 27 42.3	+59 32 57	 6.43	  K0IV
6950	          	18 30 41.6	+20 48 55	 6.50	  G8IV
6951	   The CrA	18 33 30.2	-42 18 45	 4.64	  G8III
6952	   Kap1CrA	18 33 23.3	-38 43 13	 6.32	  A0III
6953	   Kap2CrA	18 33 23.1	-38 43 34	 5.65	  B9V
6954	          	18 34 31.2	-52 53 31	 6.22	  K2III
6955	          	18 31 04.4	+16 55 43	 5.77	  A2V
6956	          	18 32 20.8	-14 38 39	 6.37	  A4V
6957	 61    Ser	18 31 57.0	-01 00 11	 5.94	  A4III
6958	          	18 32 07.0	+03 39 35	 6.43	  A0pSiCr
6959	          	18 32 43.3	-14 51 56	 5.50	  K3Ib-IICN1
6960	          	18 33 57.8	-33 01 00	 5.28	  B2IV-V
6961	 24    Sgr	18 33 53.5	-24 01 57	 5.49	  K4Ib
6962	          	18 33 39.0	-14 51 13	 5.76	  A2V
6963	          	18 33 22.9	-05 54 41	 6.36	  A0Vn
6964	          	18 51 57.9	-83 18 59	 7.16	  K1IIICNII:
6965	 25    Sgr	18 34 32.8	-24 13 21	 6.51	  F3II-III
6966	          	18 32 46.2	+23 37 01	 5.84	 gK5
6967	          	18 33 23.3	+08 16 06	 6.42	  B8IIIpSiSr:
6968	          	18 32 49.9	+30 33 15	 5.48	  B8IV
6969	          	18 35 21.3	-20 50 27	 6.48	  F0IV
6970	          	18 35 02.4	-10 58 38	 5.14	  G8III
6971	          	18 33 23.1	+30 53 33	 6.59	  B4Ve
6972	          	18 35 59.7	-29 41 57	 6.37	  K1III
6973	   Alp Sct	18 35 12.4	-08 14 39	 3.85	  K3-III-IIIb
6974	          	18 32 11.4	+52 06 56	 6.56	  B9.5V
6975	          	18 34 19.6	+20 27 59	 6.57	  A3V
6976	          	18 34 47.5	+10 53 30	 6.40	  A1V
6977	          	18 35 12.6	+18 12 12	 5.78	  A0Vn
6978	 45    Dra	18 32 34.5	+57 02 44	 4.77	  F7Ib
6979	          	18 31 14.8	+65 26 10	 6.59	  A8m
6980	          	18 35 30.4	+23 36 20	 5.61	  G9III+G7III
6981	          	18 35 53.2	+16 58 32	 6.21	  G2V+G2V
6982	   Zet Pav	18 43 02.1	-71 25 41	 4.01	  K0III
6983	          	18 33 56.7	+52 21 13	 5.36	  K0III
6984	          	18 35 13.5	+34 27 28	 6.10	  B5Vne
6985	          	18 36 27.8	+09 07 21	 5.39	  F5III
6986	          	18 39 14.3	-47 54 35	 5.86	  A7IV-V
6987	          	18 36 39.1	+06 40 19	 5.45	  F3V
6988	          	18 37 54.4	-21 23 52	 5.94	  A8IIIn
6989	          	18 38 04.6	-14 00 17	 6.47	  B9IV
6990	          	18 38 30.7	-23 30 18	 5.81	  B8III
6991	          	18 39 35.0	-43 11 10	 5.37	  M2III
6992	          	18 37 12.6	+11 25 18	 6.42	  B9V
6993	          	18 37 36.0	-00 18 34	 5.75	  A1V+A1V
6994	          	18 47 49.4	-77 52 02	 6.39	  F8V
6995	          	18 37 09.0	+16 11 54	 6.29	  G8IV
6996	          	18 42 22.5	-64 38 35	 6.37	  A5V
6997	          	18 36 37.2	+33 28 08	 5.42	  B8II-IIIpHg
6998	          	18 38 53.4	-21 03 07	 5.86	  G4V
6999	          	18 38 23.7	-03 11 37	 6.49	  F9IV
7000	          	18 38 19.1	-01 06 48	 6.66	  F1IV-V
7001	  3Alp Lyr	18 36 56.3	+38 47 01	 0.03	  A0Va
7002	          	18 38 21.0	+08 50 02	 6.40	  M6IIIe+K1III
7003	          	18 36 45.6	+43 13 19	 6.20	  F0V
7004	          	18 43 37.2	-64 33 04	 5.78	  K0III
7005	          	18 41 30.6	-48 05 42	 6.49	  K2III-IVCNII
7006	          	18 29 44.9	+77 32 49	 5.64	 gK4
7007	          	18 40 00.5	-07 47 26	 5.84	  K4III
7008	          	18 39 36.9	+05 15 51	 6.38	  F8Ib-II
7009	          	18 38 06.5	+39 40 05	 6.04	  M4.5-M5+II
7010	          	18 39 51.6	+07 21 30	 6.28	  G8III
7011	 26    Sgr	18 41 51.6	-23 50 00	 6.23	  Am
7012	          	18 45 26.9	-64 52 17	 4.79	  A5IV-V
7013	          	18 36 13.3	+65 29 19	 6.06	  F0V
7014	          	18 41 42.5	-14 33 51	 6.42	  F2Ib
7015	          	18 45 11.5	-61 05 42	 6.04	  K3III
7016	          	18 40 02.0	+30 50 58	 6.36	  K0
7017	          	18 39 33.1	+40 56 06	 6.25	  B9V
7018	          	18 37 33.5	+62 31 36	 5.74	  A0V
7019	          	18 40 12.2	+38 22 02	 6.45	  A6m
7020	   Del Sct	18 42 16.4	-09 03 09	 4.72	  F2IIIpDel Del
7021	   Lam CrA	18 43 46.9	-38 19 25	 5.13	  A2Vn
7022	          	18 45 23.7	-56 52 54	 6.22	  K3III
7023	          	18 42 55.2	-19 17 02	 6.35	  M4III
7024	          	18 42 36.1	-07 04 24	 6.15	  K0-1III
7025	          	18 24 09.2	+83 10 31	 6.17	  A2V
7026	          	18 44 07.7	-36 43 07	 6.32	  K0III
7027	          	18 49 43.5	-72 59 41	 6.06	  B9.5IV-V
7028	          	18 39 52.8	+52 11 46	 6.00	  A0p:Hg:
7029	          	18 44 19.4	-35 38 31	 4.87	  B2.5V
7030	          	18 41 41.3	+31 37 04	 6.41	  B8V
7031	          	18 44 57.2	-39 41 11	 5.43	  K3II+B7
7032	   Eps Sct	18 43 31.3	-08 16 31	 4.90	  G8IIb
7033	          	18 42 08.1	+34 44 48	 6.47	  B5V
7034	          	18 43 51.4	-06 49 07	 6.31	  F7V
7035	          	18 44 49.6	-25 00 40	 5.83	  B5:V
7036	   The Pav	18 48 37.8	-65 04 40	 5.73	  A8V
7539	 NOVA 1670	          	         	     	
7037	          	18 46 59.1	-50 05 40	 6.54	  F0V
7038	          	18 45 18.7	-21 00 05	 6.36	  F5V
7039	 27Phi Sgr	18 45 39.4	-26 59 27	 3.17	  B8III
7040	  4    Aql	18 44 49.9	+02 03 36	 5.02	  B9V
7041	          	18 43 16.7	+39 18 01	 6.45	  K5
7042	          	18 40 56.3	+62 44 59	 6.09	  K0III
7043	          	18 43 36.1	+36 33 24	 6.01	  G8
7044	          	18 43 51.6	+31 55 36	 5.70	  F1III-IV
7045	          	18 46 01.2	-19 36 23	 6.42	  M4III
7046	 28    Sgr	18 46 20.6	-22 23 32	 5.37	  K4III
7047	          	18 44 40.2	+23 35 23	 6.31	  F6V
7048	          	18 45 28.4	+05 29 59	 5.83	  A1V+A1V
7049	 46    Dra	18 42 37.9	+55 32 22	 5.04	  B9.5pHg:
7050	   Mu  CrA	18 47 44.6	-40 24 22	 5.24	  G5-6III
7051	  4Eps1Lyr	18 44 20.4	+39 40 12	 5.06	  A4V
7052	  4Eps1Lyr	18 44 20.3	+39 40 16	 6.02	  F1V
7053	  5Eps2Lyr	18 44 22.9	+39 36 47	 5.14	  A8Vn
7054	  5Eps2Lyr	18 44 22.9	+39 36 46	 5.37	  F0Vn
7055	          	18 46 43.3	-10 07 30	 5.71	  F2Ib-II
7056	  6Zet1Lyr	18 44 46.4	+37 36 18	 4.36	  A4m
7057	  7Zet2Lyr	18 44 48.2	+37 35 40	 5.73	  F0IV
7058	          	18 45 35.7	+21 59 06	 6.51	  B9pSiCr:
7059	  5    Aql	18 46 28.5	-00 57 42	 5.90	  A2Vm
7060	          	18 43 29.0	+53 52 19	 6.11	  A2IV
7061	110    Her	18 45 39.7	+20 32 47	 4.19	  F6V
7062	   Eta1CrA	18 48 50.5	-43 40 48	 5.49	  A3V
7063	   Bet Sct	18 47 10.5	-04 44 52	 4.22	  G4IIa
7064	          	18 46 04.5	+26 39 44	 4.83	  K3III
7065	          	18 49 27.4	-45 48 37	 5.81	  G8III
7066	          	18 47 29.0	-05 42 18	 5.20	  K0Ibp
7067	          	18 46 41.4	+18 42 21	 6.17	  K5
7068	   Eta2CrA	18 49 35.0	-43 26 02	 5.61	  B9IV
7069	111    Her	18 47 01.3	+18 10 53	 4.36	  A5III
7070	          	18 49 17.2	-34 44 55	 6.62	  K1IVCNIII
7071	          	18 44 55.4	+54 53 48	 6.23	  G5III
7072	          	18 48 45.3	-18 36 05	 6.47	  G5III:+A0V:
7073	          	18 46 13.0	+41 26 30	 6.07	  B6V
7074	   Lam Pav	18 52 13.0	-62 11 15	 4.22	  B2II-IIIe
7075	          	18 44 18.2	+61 02 53	 5.99	  G7IV
7076	          	18 48 02.7	+04 14 29	 6.21	  K5
7077	          	18 49 35.5	-19 08 32	 6.75	  A1m
7078	 29    Sgr	18 49 40.1	-20 19 29	 5.24	  K4III
7079	          	18 48 16.4	+23 30 51	 6.15	  F8V
7080	          	18 46 59.0	+46 18 54	 6.52	  A2IV
7081	          	18 47 57.5	+31 45 25	 6.06	  B3IVp
7082	          	18 43 10.2	+70 47 34	 6.44	  K2
7083	          	18 49 41.0	-05 54 46	 5.99	  K2Ib
7084	          	18 46 43.1	+52 59 17	 5.88	  B2.5Ve
7085	          	18 49 37.1	+00 50 09	 6.25	  A1V
7086	          	18 48 53.4	+19 19 43	 5.88	  A1V
7087	   Kap Tel	18 52 39.6	-52 06 27	 5.17	  G8-K0III
7088	 30    Sgr	18 50 50.5	-22 09 44	 6.61	  A7III
7089	          	18 50 20.0	-07 54 27	 6.80	  C5II
7090	          	18 47 40.0	+49 04 30	 6.40	  A1V
7091	          	18 49 14.4	+25 02 47	 6.59	  A1V
7092	          	18 52 27.1	-46 35 43	 5.54	  M0III
7093	          	18 53 12.1	-51 55 52	 6.31	  B4III
7094	          	18 50 58.5	-09 46 27	 5.83	  F2Ib
7095	          	18 53 02.5	-48 21 36	 6.19	  A2V
7096	          	18 48 16.1	+48 46 03	 6.12	  A7III
7097	          	18 52 59.6	-46 35 09	 6.19	  A1IV-V
7098	          	18 49 44.0	+31 37 45	 6.64	  A0V s
7099	          	18 50 45.6	+10 58 35	 6.55	  K5III+K3III
7100	  8Nu 1Lyr	18 49 45.9	+32 48 46	 5.91	  B3IV
7101	  8    Aql	18 51 22.1	-03 19 04	 6.10	  F2III
7102	  9Nu 2Lyr	18 49 52.9	+32 33 03	 5.25	  A3V
7103	          	18 52 28.5	-26 39 01	 6.29	  G8/K0III
7104	          	18 52 37.0	-29 22 46	 6.13	  K1III
7105	          	18 52 41.7	-30 44 03	 6.63	  B8V
7106	 10Bet Lyr	18 50 04.8	+33 21 46	 3.45	  B8IIpe
7107	   Kap Pav	18 56 57.0	-67 14 01	 4.44	  F5I-II
7108	          	18 54 32.3	-49 52 43	 6.60	  A2V
7109	          	18 52 01.9	+13 57 56	 6.14	  B8Vnn
7110	          	18 53 01.9	-09 34 34	 6.34	  A7Vn
7111	          	18 56 54.7	-62 48 04	 6.48	  K3III
7112	          	18 51 35.9	+28 47 01	 6.18	  K1II-III
7113	112    Her	18 52 16.4	+21 25 31	 5.48	  B9II-IIIpHg
7114	 33    Sgr	18 54 00.1	-21 21 35	 5.69	  K1Ib
7115	          	18 51 36.5	+36 32 19	 6.09	  B6IV
7116	 32Nu 1Sgr	18 54 10.2	-22 44 42	 4.83	  K2I+B9V:
7117	          	18 45 46.7	+74 05 08	 5.27	  K0II-III
7118	          	18 52 07.1	+41 23 00	 6.28	  B9IIIpSi
7119	          	18 54 43.1	-15 36 11	 5.10	  B5II
7120	 35Nu 2Sgr	18 55 07.1	-22 40 17	 4.99	  K3II-IIIBa0.8CN2
7121	 34Sig Sgr	18 55 15.9	-26 17 48	 2.02	  B2.5V
7122	          	18 56 16.9	-42 42 38	 5.36	  K0III
7123	          	18 51 35.0	+52 58 30	 5.51	  G9IVa
7124	 50    Dra	18 46 22.2	+75 26 02	 5.35	  A1Vn
7125	 47Omi Dra	18 51 12.1	+59 23 18	 4.66	  G9IIIFe-0.5
7126	          	18 55 31.0	-16 22 36	 5.79	  F4V
7127	   Ome Pav	18 58 36.4	-60 12 02	 5.14	  K2IIICNIV
7128	          	18 56 00.6	-23 10 25	 5.93	  B8
7129	          	18 56 40.5	-37 20 36	 5.38	  B8IVSi
7130	          	19 00 03.5	-66 39 12	 6.01	  K0III
7131	 11Del1Lyr	18 53 43.6	+36 58 18	 5.58	  B2.5V
7132	          	18 54 13.2	+27 54 34	 5.62	  K4III
7133	113    Her	18 54 44.9	+22 38 42	 4.59	  G4III+A6V
7134	   Lam Tel	18 58 27.7	-52 56 19	 4.87	  A0V
7135	          	18 55 27.5	+06 36 55	 5.57	  K0III
7136	          	18 57 34.7	-39 49 24	 6.31	  A3
7137	          	18 53 13.6	+50 42 30	 4.92	  G7IIIaFe-1
7138	          	18 54 14.3	+41 13 32	 7.30	  F5
7139	 12Del2Lyr	18 54 30.2	+36 53 56	 4.30	  M4II
7140	          	18 54 52.5	+33 58 07	 6.02	  G8III+A2
7141	 63The1Ser	18 56 13.2	+04 12 13	 4.62	  A5V
7142	 63The2Ser	18 56 14.6	+04 12 07	 4.98	  A5Vn
7143	          	18 56 22.7	-01 48 00	 6.22	  B9III
7144	          	18 56 25.6	+02 28 16	 6.15	  G8III
7145	 36Xi 1Sgr	18 57 20.5	-20 39 23	 5.08	  A0II
7146	          	18 54 52.2	+41 36 10	 5.44	  K0III
7147	          	18 56 03.9	+17 59 42	 6.63	  B9pSi
7148	          	18 56 06.2	+18 06 19	 5.69	  K1III
7149	   Eta Sct	18 57 03.7	-05 50 46	 4.83	  K2III
7150	 37Xi 2Sgr	18 57 43.8	-21 06 24	 3.51	  K1III
7151	          	18 58 21.3	-31 02 10	 6.12	  K3III
7152	   Eps CrA	18 58 43.4	-37 06 27	 4.87	  F2V
7153	          	18 53 46.3	+57 29 13	 6.22	 gK5
7154	          	18 54 47.1	+48 51 35	 5.77	  F3III
7155	          	18 58 20.5	-24 52 36	 6.62	  A0
7156	          	18 59 11.1	-39 32 05	 6.49	  A0
7157	 13    Lyr	18 55 20.1	+43 56 46	 4.04	  M5III
7158	 64    Ser	18 57 16.6	+02 32 07	 5.57	  B9IIIep:Hg:
7159	          	18 58 24.6	-22 31 46	 6.14	  A2V
7160	          	18 45 38.1	+79 56 33	 6.39	  A8V
7161	          	19 03 29.7	-68 45 19	 5.88	  F8V
7162	          	18 57 01.6	+32 54 05	 5.22	  F9V
7163	          	18 58 23.8	+06 14 25	 6.21	  F5IV
7164	          	18 59 26.8	-18 34 01	 6.37	  G3II
7165	          	18 58 14.7	+17 21 39	 5.38	  F8Ib
7166	          	18 59 23.8	-12 50 26	 5.53	  B5IV
7167	 10    Aql	18 58 46.9	+13 54 24	 5.89	  F0pSrEu
7168	          	19 00 24.8	-24 56 32	 6.36	 gK0
7169	          	19 01 03.2	-37 03 39	 6.69	  B9V
7170	          	19 01 04.3	-37 03 43	 6.40	  B8V-IV
7171	          	18 58 45.1	+19 47 39	 6.50	  B7III-IV
7172	 11    Aql	18 59 05.7	+13 37 21	 5.23	  F8V
7173	          	18 59 17.5	+10 08 27	 6.75	  B2Vp
7174	          	18 58 01.9	+38 15 58	 5.89	  B7IV
7175	 48    Dra	18 56 45.0	+57 48 54	 5.66	  K1III
7176	 13Eps Aql	18 59 37.4	+15 04 06	 4.02	  K1-IIICN0.5Ba0.2
7177	          	19 02 08.7	-41 54 36	 6.23	  A0V
7178	 14Gam Lyr	18 58 56.6	+32 41 22	 3.24	  B9III
7179	          	18 58 46.6	+40 40 45	 6.22	  B3V
7180	 52Ups Dra	18 54 23.9	+71 17 50	 4.82	  K0IIIBa0.2
7181	          	18 59 45.5	+26 13 50	 5.27	  K2III
7182	          	19 01 37.8	-22 41 44	 6.24	  K5
7183	          	18 59 58.1	+22 48 53	 6.29	  M3.5IIIab
7184	          	18 57 28.4	+58 13 31	 6.46	  A2IV
7185	          	18 59 12.3	+39 13 04	 6.41	  B5IV
7186	          	19 01 33.5	-15 16 57	 6.32	 gG6
7187	          	18 56 25.6	+65 15 29	 5.63	  G8III
7188	   Zet CrA	19 03 06.9	-42 05 43	 4.75	  B9.5V
7189	 NOVA 1899	          	         	     	
7190	          	19 03 57.4	-51 01 07	 5.93	  K0-1III
7191	          	18 57 17.4	+62 23 48	 6.45	  G5IV+G8V
7192	 15Lam Lyr	19 00 00.9	+32 08 44	 4.93	  K2.5IIIBa0.5
7193	 12    Aql	19 01 40.8	-05 44 20	 4.02	  K1III
7194	 38Zet Sgr	19 02 36.7	-29 52 49	 2.60	  A2III+A4IV
7195	          	19 02 27.7	-24 50 49	 5.65	  K3III
7196	          	18 58 59.6	+50 48 34	 6.30	  G8III
7197	          	19 03 17.7	-38 15 12	 5.74	  F0IIIn
7198	          	19 01 05.5	+19 18 35	 6.39	  K1III
7199	          	18 53 33.2	+75 47 15	 6.22	  A1V
7200	          	19 01 22.6	+20 50 01	 6.69	  B2IV-V
7201	          	19 00 19.0	+40 41 03	 6.65	  M4IIIa
7202	          	19 01 17.4	+26 17 29	 5.69	  B5V
7203	          	19 03 03.8	-19 14 43	 6.05	  G6III
7204	          	19 00 55.2	+33 48 08	 6.01	 gK0
7205	          	19 03 07.0	-19 06 12	 6.37	  F5IV-V
7206	          	19 01 34.9	+25 01 33	 6.72	  K2
7207	          	19 01 49.5	+22 15 50	 6.40	  A4V
7208	          	19 02 21.6	+08 22 27	 6.30	  K2III
7209	 14    Aql	19 02 54.5	-03 41 56	 5.42	  A1V
7210	          	19 00 13.7	+50 32 01	 5.38	  B2.5IV
7211	          	19 04 25.1	-31 02 49	 5.50	  A0IV
7212	          	19 01 48.3	+33 37 17	 6.39	  B5IV
7213	   Rho Tel	19 06 19.9	-52 20 27	 5.16	  F7V
7214	          	19 03 32.2	+01 49 08	 5.83	  A4V
7215	 16    Lyr	19 01 26.4	+46 56 05	 5.01	  A7V
7216	          	19 02 52.6	+19 39 40	 6.09	  K1III
7217	 39Omi Sgr	19 04 41.0	-21 44 30	 3.77	  G9IIIb
7218	 49    Dra	19 00 43.4	+55 39 30	 5.48	  G5.5IIbFe-0.5
7219	          	19 04 10.7	+03 19 50	 6.73	  A5m
7220	          	19 04 24.2	-05 41 06	 6.90	  C5II
7221	          	19 09 52.7	-68 25 29	 5.33	  G8-K0III-IV
7222	          	19 03 42.5	+21 16 04	 6.52	  F2III
7223	          	19 06 55.6	-48 17 57	 5.97	  A0V
7224	          	18 58 52.6	+69 31 52	 6.52	  A0pSi
7225	 15    Aql	19 04 57.6	-04 01 53	 5.42	  K1III
7226	   Gam CrA	19 06 25.1	-37 03 48	 4.93	  F8V
7227	   Gam CrA	19 06 25.1	-37 03 48	 4.99	  F8V
7228	   Sig Oct	21 08 46.2	-88 57 23	 5.47	  F0III
7229	          	19 02 07.0	+52 15 40	 6.31	  G8III
7230	          	19 05 41.2	-15 39 37	 5.97	  B9V
7231	          	19 05 18.6	-01 30 46	 6.53	  F1V
7232	          	19 06 52.5	-37 48 37	 6.16	  G5IV
7233	          	19 08 52.1	-55 43 13	 6.49	  K1III
7234	 40Tau Sgr	19 06 56.4	-27 40 14	 3.32	  K1+IIIb
7235	 17Zet Aql	19 05 24.6	+13 51 48	 2.99	  A0Vn
7236	 16Lam Aql	19 06 14.9	-04 52 57	 3.44	  B9Vn
